Time,Open,High,Low,Last,Change,%Chg,Volume
11/30/2021,58119.71,58987.99,56216.02,57277.38,-842.33,-1.45%,707477516
11/29/2021,54146.91,58660.21,53343.65,58119.71,3972.8,+7.34%,6634066
11/26/2021,58905.3,59103.66,53791.84,54146.91,-4745.47,-8.06%,1012343719
11/25/2021,57325.21,59269.3,56926.96,58892.38,1567.2,+2.73%,549338810
11/24/2021,57614.66,57704.35,55945.58,57325.18,-289.48,-0.50%,658840466
11/23/2021,56205.01,57697.67,55834.4,57614.66,1409.65,+2.51%,863536277
11/22/2021,57809.1,59810.52,55874.06,56205.01,-1604.09,-2.77%,8974784
11/19/2021,57622.7,58306.47,55760.56,57809.1,186.4,+0.32%,729574876
11/18/2021,60034.62,60702.96,56900.24,57622.7,-2411.91,-4.02%,972744319
11/17/2021,60211.13,60649.43,58918.8,60034.61,-176.52,-0.29%,839069045
11/16/2021,63902.21,63998.74,59165.89,60211.13,-3691.08,-5.78%,1507488187
11/15/2021,63968.88,65998.07,63459.75,63902.21,-66.67,-0.10%,549046
11/12/2021,65129.55,65179.89,62550.08,63968.88,-1160.67,-1.78%,706329300
11/11/2021,64860.97,65309.82,64353,65129.55,344.85,+0.53%,1292511201
11/10/2021,67382.83,68637.03,64702.31,64784.7,-2503.64,-3.72%,1145948828
11/09/2021,65923.88,68080.16,65913.59,67288.34,1364.46,+2.07%,772517608
11/08/2021,61031.18,66160.2,60104.58,65923.88,4892.7,+8.02%,8557895
11/05/2021,61650.37,62367.34,60929.18,61031.18,-618.93,-1.00%,50533
11/04/2021,62224.67,62943.63,61064.12,61650.11,-574.56,-0.92%,8174346
11/03/2021,63312.84,63684.78,61882.7,62224.67,-1088.17,-1.72%,711961990
11/02/2021,60797.73,63882.26,60662.16,63312.84,2515.11,+4.14%,745870976
11/01/2021,62278.79,62365.51,60095.09,60797.73,-1481.06,-2.38%,76923
10/29/2021,61816.31,62606.45,60480.57,62278.79,462.48,+0.75%,1074398240
10/28/2021,59191.85,61912.86,58494.61,61816.31,2621.5,+4.43%,1231556928
10/27/2021,62174.53,62176.93,58577.98,59194.81,-2980.36,-4.79%,1018902814
10/26/2021,62678.11,63168.89,62117.33,62175.17,-502.57,-0.80%,5338553
10/25/2021,60880.79,63365.34,59840,62677.74,1796.95,+2.95%,67131
10/22/2021,63097.54,63617.42,60548.88,60880.79,-2216.75,-3.51%,10058329
10/21/2021,65045.86,66019.96,62717.26,63097.54,-1948.32,-3.00%,132529
10/20/2021,63742.3,66390.13,63043.7,65045.86,1303.56,+2.05%,1075597139
10/19/2021,61740.11,64068.08,61466.82,63742.3,2002.19,+3.24%,105931
10/18/2021,61602.93,62315.26,59684.7,61740.11,91.33,+0.15%,12511253
10/15/2021,57565.45,62075.23,57033.08,61648.78,4089.19,+7.10%,11573961
